id,web_name,minutes,goals_scored,assists,expected_goals,expected_assists,xGI,expected_goals_conceded,defensive_contribution_per_90,starts,yellow_cards,red_cards,saves,penalties_missed,goals_conceded,own_goals,clean_sheets,GI,overperformance,highlight
348,Rodon,1260,2,0,0.68,0.11,0.79,20.23,8.79,14,1,0,0,0,26,0,2,2,1.21,False
350,Aaronson,789,1,3,1.97,1.44,3.41,11.43,8.9,9,1,0,0,0,13,0,2,4,0.5899999999999999,False
353,James,348,0,0,0.71,0.56,1.27,8.79,4.66,4,0,0,0,0,12,0,1,0,-1.27,False
354,Ampadu,1057,0,0,0.55,0.3,0.85,16.62,12.01,12,4,0,0,0,21,0,1,0,-0.85,False
356,Gruev,324,0,0,0.0,0.22,0.22,7.22,9.17,3,1,0,0,0,9,0,1,0,-0.22,False
358,Tanaka,523,1,0,0.4,0.39,0.79,9.77,9.81,6,1,0,0,0,11,0,2,1,0.20999999999999996,False
365,Nmecha,489,4,0,4.41,0.3,4.71,9.45,4.6,5,0,0,0,1,12,0,1,4,-0.71,False
493,Longstaff,877,1,2,0.74,1.27,2.01,11.28,9.65,10,1,0,0,0,15,0,1,3,0.9900000000000002,False
660,Stach,910,1,4,1.21,0.96,2.17,13.28,8.8,11,2,0,0,0,19,0,2,5,2.83,False
665,Perri,810,0,0,0.0,0.0,0.0,15.8,0.0,9,1,0,21,0,18,0,2,0,0.0,False
691,Calvert-Lewin,763,3,1,3.6,0.48,4.08,9.4,3.42,8,0,0,0,0,12,0,2,4,-0.08000000000000007,False
698,Okafor,625,2,2,1.71,0.55,2.26,10.71,7.63,8,2,0,0,0,14,0,1,4,1.7400000000000002,False
366,A.Becker,810,0,0,0.0,0.01,0.01,9.15,0.0,9,0,0,17,0,11,0,3,0,-0.01,False
367,Mamardashvili,450,0,0,0.0,0.0,0.0,7.1,0.0,5,0,0,17,0,10,0,1,0,0.0,False
371,Kerkez,849,1,0,0.89,0.31,1.2,11.33,6.36,11,3,0,0,0,14,0,2,1,-0.19999999999999996,False
372,Robertson,403,0,0,0.21,0.69,0.89,4.93,5.81,3,0,0,0,0,7,0,1,0,-0.89,False
373,Virgil,1260,0,0,0.57,0.28,0.85,16.25,10.64,14,2,0,0,0,21,0,4,0,-0.85,False
374,Konaté,1156,0,0,0.76,0.37,1.13,13.68,9.42,14,2,0,0,0,18,0,4,0,-1.13,False
375,Bradley,529,0,1,0.07,0.53,0.6,8.06,5.44,7,4,0,0,0,11,0,1,1,0.4,False
381,M.Salah,1119,4,2,3.98,1.9,5.88,15.37,3.3,12,1,0,0,0,21,0,3,6,0.1200000000000001,False
382,Wirtz,850,0,1,2.04,1.48,3.51,11.52,6.04,9,1,0,0,0,13,0,3,1,-2.51,False
384,Gakpo,1054,4,3,3.87,2.66,6.53,12.18,5.38,12,0,0,0,0,17,0,4,7,0.46999999999999975,False
386,Mac Allister,890,0,2,1.32,0.62,1.94,9.87,7.79,12,1,0,0,0,12,0,3,2,0.06000000000000005,False
387,Szoboszlai,1260,1,1,1.52,1.86,3.38,16.25,10.71,14,4,0,0,0,21,0,4,2,-1.38,False
388,C.Jones,455,0,1,0.41,1.11,1.52,7.86,11.27,3,1,0,0,0,12,0,0,1,-0.52,False
390,Gravenberch,1051,3,2,0.6,0.71,1.31,11.16,8.73,12,3,0,0,0,15,0,4,5,3.69,False
499,Isak,469,1,1,1.93,0.07,2.0,4.61,3.84,6,0,0,0,0,6,0,1,2,0.0,False
661,Ekitiké,703,3,1,2.45,0.34,2.79,10.52,4.74,8,0,0,0,0,11,0,3,4,1.21,False
403,Gvardiol,879,1,1,0.94,0.51,1.45,10.64,6.25,10,1,0,0,0,12,0,3,2,0.55,False
407,Matheus N.,963,1,3,0.23,0.79,1.02,10.99,7.2,10,2,0,0,0,13,0,3,4,2.98,False
409,Stones,351,0,0,0.0,0.06,0.06,5.05,4.87,4,0,0,0,0,8,0,1,0,-0.06,False
408,Rúben,1175,1,0,0.24,0.34,0.58,14.23,6.89,13,0,0,0,0,15,0,5,1,0.42000000000000004,False
411,O’Reilly,953,1,3,1.86,1.06,2.92,12.19,7.37,10,2,0,0,0,11,0,5,4,1.08,False
414,Foden,977,5,1,2.9,2.22,5.12,11.33,7.0,11,3,0,0,0,11,0,5,6,0.8799999999999999,False
415,Savinho,428,0,1,0.32,1.03,1.35,5.41,7.15,4,1,0,0,0,5,0,2,1,-0.3500000000000001,False
416,Bernardo,894,0,2,0.23,1.43,1.66,11.09,8.15,10,4,0,0,0,12,0,3,2,0.3400000000000001,False
417,Cherki,312,1,4,0.85,1.36,2.21,4.36,7.5,4,1,0,0,0,5,0,0,5,2.79,False
418,Doku,845,1,6,1.31,3.39,4.7,9.73,5.75,10,0,0,0,0,9,0,4,7,2.3,False
423,N.Gonzalez,887,1,0,0.41,0.53,0.94,10.83,11.57,9,3,0,0,0,11,0,4,1,0.06000000000000005,False
424,Bobb,464,0,1,0.4,1.15,1.55,5.1,5.62,5,1,0,0,0,5,0,2,1,-0.55,False
427,Reijnders,925,2,2,2.31,1.38,3.69,11.1,5.55,11,2,0,0,0,13,0,3,4,0.31000000000000005,False
430,Haaland,1214,15,3,13.61,1.01,14.62,14.92,3.41,14,0,0,0,1,15,0,6,18,3.380000000000001,True
736,Donnarumma,990,0,0,0.0,0.0,0.0,11.45,0.0,11,4,0,20,0,12,0,4,0,0.0,False
119,Mbeumo,1225,5,1,3.77,2.85,6.62,18.8,4.33,14,2,0,0,0,20,0,2,6,-0.6200000000000001,False
431,Bayindir,540,0,0,0.0,0.05,0.05,9.24,0.0,6,0,0,13,0,11,0,0,0,-0.05,False
436,De Ligt,1170,1,0,1.38,0.83,2.21,18.73,8.23,13,0,0,0,0,20,0,1,1,-1.21,False
438,Mazraoui,371,0,0,0.0,0.2,0.2,3.59,8.49,5,1,0,0,0,4,0,1,0,-0.2,False
440,Dalot,781,1,2,0.44,0.95,1.39,13.62,5.88,9,0,0,0,0,15,0,2,3,1.61,False
441,Dorgu,702,0,1,0.72,0.78,1.5,12.16,6.67,7,4,0,0,0,13,0,1,1,-0.5,False
442,Maguire,341,1,1,0.32,0.02,0.34,6.7,6.07,4,0,0,0,0,4,0,2,2,1.66,False
443,Shaw,1191,0,1,0.08,0.61,0.69,18.18,5.29,14,2,0,0,0,18,0,2,1,0.31000000000000005,False
444,Yoro,826,0,1,0.29,0.13,0.42,12.53,7.08,9,0,0,0,0,17,0,1,1,0.5800000000000001,False
449,B.Fernandes,1250,2,5,5.52,2.68,8.2,19.08,10.8,14,2,0,0,2,21,0,1,7,-1.1999999999999993,False
450,Cunha,759,1,0,1.85,0.98,2.83,12.12,7.23,9,0,0,0,0,10,0,2,1,-1.83,False
452,Amad,1023,1,3,2.24,2.26,4.5,13.12,8.45,12,1,0,0,0,13,0,2,4,-0.5,False
455,Mount,496,2,0,0.72,0.93,1.65,6.76,6.71,6,0,0,0,0,7,0,3,2,0.3500000000000001,False
457,Casemiro,854,3,3,2.04,0.53,2.57,10.69,11.7,12,4,1,0,0,9,0,3,6,3.43,False
459,Ugarte,312,0,0,0.05,0.04,0.09,8.51,15.0,2,0,0,0,0,12,0,0,0,-0.09,False
466,Zirkzee,339,1,0,1.6,0.12,1.72,4.27,6.64,3,0,0,0,0,6,0,1,1,-0.72,False
681,Šeško,616,2,1,1.97,0.16,2.13,10.8,3.94,6,1,0,0,0,13,0,1,3,0.8700000000000001,False
733,Lammens,720,0,0,0.0,0.0,0.0,10.26,0.0,8,0,0,17,0,10,0,1,0,0.0,False
469,Pope,1066,0,1,0.0,0.0,0.0,12.48,0.0,12,1,0,39,0,13,0,5,1,1.0,False
473,Hall,401,0,1,0.19,0.69,0.88,6.82,8.08,4,0,0,0,0,7,0,1,1,0.12,False
474,Schär,516,0,0,0.1,0.16,0.26,6.07,10.81,5,0,0,0,0,5,0,3,0,-0.26,False
475,Botman,655,0,0,0.13,0.25,0.38,9.01,9.07,8,0,0,0,0,10,1,3,0,-0.38,False
476,Burn,1152,0,3,0.12,0.28,0.4,11.73,8.59,13,3,1,0,0,17,0,5,3,2.6,False
477,Livramento,796,0,1,0.12,0.42,0.54,8.51,5.31,9,0,0,0,0,7,0,5,1,0.45999999999999996,False
478,Trippier,699,0,0,0.0,0.9,0.9,7.51,3.99,8,1,0,0,0,10,0,4,0,-0.9,False
485,Gordon,486,1,0,2.13,0.79,2.92,4.99,4.26,7,0,1,0,0,9,0,3,1,-1.92,False
486,Elanga,510,0,1,0.85,0.44,1.29,6.99,3.53,5,0,0,0,0,12,0,2,1,-0.29000000000000004,False
487,Barnes,683,3,0,3.0,1.43,4.43,7.56,4.48,7,0,0,0,0,8,0,3,3,-1.4299999999999997,False
488,Bruno G.,1119,4,4,2.06,1.11,3.17,14.43,9.01,12,3,0,0,0,18,0,4,8,4.83,False
489,J.Murphy,721,2,1,2.41,1.45,3.86,8.99,3.74,9,0,0,0,0,6,0,5,3,-0.8599999999999999,False
490,Joelinton,919,0,0,0.69,0.5,1.19,11.26,10.18,12,3,0,0,0,12,0,3,0,-1.19,False
491,Tonali,1005,0,1,0.45,1.33,1.78,11.04,8.69,12,0,0,0,0,10,0,5,1,-0.78,False
497,L.Miley,453,1,2,0.41,0.86,1.27,4.93,8.34,4,0,0,0,0,5,0,1,3,1.73,False
684,Thiaw,902,2,0,1.22,0.35,1.57,14.19,8.58,10,1,0,0,0,16,0,2,2,0.42999999999999994,False
714,Woltemade,876,5,2,4.49,0.42,4.91,12.05,4.83,11,0,0,0,0,12,0,4,7,2.09,False
502,Sels,1260,0,0,0.0,0.06,0.06,20.62,0.0,14,1,0,44,0,22,0,2,0,-0.06,False
505,Milenković,1260,0,0,0.59,0.24,0.83,20.62,7.43,14,2,0,0,0,22,0,2,0,-0.83,False
506,Murillo,739,1,0,0.25,0.24,0.49,11.71,9.62,9,2,0,0,0,13,0,1,1,0.51,False
508,N.Williams,1260,1,1,0.97,0.88,1.85,20.62,6.93,14,4,0,0,0,22,0,2,2,0.1499999999999999,False
511,Morato,618,0,0,0.03,0.06,0.09,9.57,8.59,7,3,0,0,0,11,0,1,0,-0.09,False
515,Gibbs-White,1170,3,1,3.02,1.19,4.21,19.84,4.77,13,0,0,0,0,19,0,2,4,-0.20999999999999996,False
516,Hudson-Odoi,639,1,0,0.61,1.2,1.81,11.75,5.49,6,0,0,0,0,13,0,0,1,-0.81,False
517,Anderson,1260,1,2,1.75,1.66,3.41,20.62,12.86,14,3,0,0,0,22,0,2,3,-0.41000000000000014,False
521,Sangaré,729,1,0,0.65,0.19,0.84,11.99,10.62,9,2,0,0,0,11,0,2,1,0.16000000000000003,False
525,Wood,538,2,0,2.81,0.11,2.92,7.84,2.34,7,0,0,0,0,8,0,1,2,-0.9199999999999999,False
526,Igor Jesus,575,1,1,2.36,0.15,2.51,11.27,5.48,6,0,0,0,0,12,0,2,2,-0.5099999999999998,False
669,Ndoye,951,1,2,0.78,1.22,2.0,13.4,7.0,13,1,0,0,0,14,0,2,3,1.0,False
716,Savona,699,2,0,1.26,0.18,1.44,11.2,5.41,7,0,0,0,0,12,0,2,2,0.56,False
531,Ballard,849,2,1,1.04,0.37,1.41,12.05,11.34,9,1,0,0,0,9,0,2,3,1.59,False
532,Hume,1184,0,1,0.51,0.65,1.16,16.55,6.39,13,3,0,0,0,12,0,4,1,-0.15999999999999992,False
541,Reinildo,932,0,1,0.1,0.07,0.17,13.76,7.92,11,3,1,0,0,12,0,2,1,0.83,False
544,Diarra,345,0,1,0.5,0.08,0.58,3.87,3.91,4,1,0,0,0,2,0,2,1,0.42000000000000004,False
547,E.Le Fée,945,2,3,1.86,0.9,2.76,13.8,9.62,11,2,0,0,0,11,0,3,5,2.24,False
552,Sadiki,1253,0,0,0.18,0.73,0.91,17.99,7.47,14,4,0,0,0,14,0,4,0,-0.91,False
553,Talbi,765,2,2,1.19,0.35,1.53,11.89,5.41,8,0,0,0,0,7,0,4,4,2.4699999999999998,False
560,Isidor,823,4,0,2.78,0.05,2.83,12.37,2.73,10,0,0,0,0,11,0,4,4,1.17,False
668,Xhaka,1260,1,4,0.37,1.29,1.66,18.57,11.43,14,4,0,0,0,14,0,4,5,3.34,False
670,Roefs,1260,0,0,0.0,0.03,0.03,18.57,0.0,14,2,0,51,0,14,0,4,0,-0.03,False
683,Alderete,847,1,1,0.66,0.54,1.2,12.41,9.99,9,2,0,0,0,9,0,3,2,0.8,False
694,Mukiele,1080,1,1,0.56,0.83,1.39,17.01,10.25,12,2,0,0,0,12,1,3,2,0.6100000000000001,False
724,Geertruida,442,0,0,0.33,0.3,0.63,8.61,6.92,4,0,0,0,0,6,0,0,0,-0.63,False
735,Traoré,483,1,1,0.48,0.22,0.7,7.88,6.52,7,1,0,0,0,7,0,2,2,1.3,False
565,Vicario,1260,0,0,0.0,0.01,0.01,19.41,0.0,14,0,0,43,0,18,0,4,0,-0.01,False
568,Pedro Porro,1055,0,2,0.18,1.7,1.88,14.9,6.65,12,2,0,0,0,12,0,4,2,0.1200000000000001,False
569,Romero,927,2,1,0.73,0.26,0.99,14.74,8.74,10,6,0,0,0,12,0,3,3,2.01,False
570,Danso,482,0,0,0.0,0.09,0.09,7.78,12.51,6,3,0,0,0,10,0,1,0,-0.09,False
573,Spence,835,0,0,0.18,0.22,0.4,13.42,4.74,10,2,0,0,0,11,0,4,0,-0.4,False
574,Udogie,605,0,1,0.1,0.32,0.42,10.36,4.46,6,1,0,0,0,13,0,0,1,0.5800000000000001,False
575,Van de Ven,1159,3,0,1.91,0.27,2.18,17.37,6.06,13,3,0,0,0,16,0,4,3,0.8199999999999998,False
580,Johnson,555,2,0,0.96,0.28,1.24,9.46,6.49,6,2,0,0,0,4,0,3,2,0.76,False
582,Kudus,1128,2,6,1.56,1.84,3.4,18.09,7.42,13,3,0,0,0,16,0,4,8,4.6,False
585,Bentancur,840,1,1,0.34,0.56,0.9,14.13,12.11,10,3,0,0,0,14,0,2,2,1.1,False
586,Bergvall,561,1,2,0.92,0.28,1.2,6.51,8.34,7,1,0,0,0,6,0,2,3,1.8,False
588,Odobert,474,0,1,0.79,0.63,1.42,6.09,5.89,4,0,0,0,0,9,0,0,1,-0.41999999999999993,False
593,P.M.Sarr,693,2,2,0.74,0.45,1.19,12.49,10.52,7,0,0,0,0,7,0,3,4,2.81,False
597,Richarlison,793,5,2,2.29,0.64,2.93,12.35,6.36,8,3,0,0,0,14,0,2,7,4.07,False
673,J.Palhinha,1010,2,2,0.66,0.38,1.04,15.88,11.76,12,3,0,0,0,15,0,3,4,2.96,False
717,Xavi,618,0,1,0.53,0.7,1.23,9.66,8.16,6,2,0,0,0,9,0,2,1,-0.22999999999999998,False
726,Kolo Muani,379,0,0,0.53,0.11,0.64,6.22,5.46,5,1,0,0,0,6,0,1,0,-0.64,False
600,Areola,900,0,1,0.0,0.0,0.0,18.04,0.0,10,0,0,40,0,17,0,0,1,1.0,False
603,Diouf,1215,0,4,0.26,0.81,1.07,22.01,7.19,13,2,0,0,0,27,0,1,4,2.9299999999999997,False
605,Kilman,1083,0,0,0.53,0.21,0.74,21.06,9.06,12,3,0,0,0,25,0,1,0,-0.74,False
606,Mavropanos,675,0,0,0.42,0.06,0.48,11.13,10.67,7,1,0,0,0,12,0,1,0,-0.48,False
609,Todibo,756,0,1,0.05,0.23,0.28,14.49,8.93,9,2,0,0,0,17,0,0,1,0.72,False
610,Wan-Bissaka,831,0,1,0.0,0.42,0.42,16.78,8.01,9,2,0,0,0,21,0,0,1,0.5800000000000001,False
612,L.Paquetá,1042,3,1,1.88,1.27,3.15,16.49,9.41,12,5,1,0,0,24,0,1,4,0.8500000000000001,False
613,Souček,544,2,1,2.28,0.03,2.31,13.0,10.09,6,0,1,0,0,18,0,1,3,0.69,False
614,Ward-Prowse,414,0,0,0.13,0.91,1.04,7.27,4.78,5,0,0,0,0,11,0,1,0,-1.04,False
615,Summerville,639,0,3,0.84,0.46,1.3,11.03,8.31,8,3,0,0,0,13,0,0,3,1.7,False
623,Potts,541,0,0,0.03,0.18,0.21,9.19,10.15,5,0,0,0,0,9,0,0,0,-0.21,False
624,Bowen,1260,3,2,1.93,1.32,3.25,23.48,6.29,14,0,0,0,0,28,0,1,5,1.75,False
625,Füllkrug,407,0,0,0.93,0.21,1.14,8.59,4.2,5,0,0,0,0,11,0,1,0,-1.14,False
659,Walker-Peters,510,1,0,1.1,0.07,1.17,11.11,5.47,5,1,0,0,0,10,0,1,1,-0.16999999999999993,False
671,Wilson,579,4,0,2.7,0.1,2.8,7.84,2.95,6,0,0,0,0,9,0,1,4,1.2000000000000002,False
708,M.Fernandes,895,1,1,0.63,0.9,1.53,14.5,9.25,11,1,0,0,0,15,0,1,2,0.47,False
679,Hermansen,360,0,0,0.0,0.01,0.01,5.44,0.0,4,0,0,9,0,11,0,1,0,-0.01,False
718,S.Magassa,346,1,0,0.28,0.03,0.31,6.28,12.23,4,2,0,0,0,6,0,0,1,0.69,False
627,Johnstone,900,0,0,0.0,0.02,0.02,13.36,0.0,10,0,0,33,0,18,0,0,0,-0.02,False
628,José Sá,360,0,0,0.0,0.03,0.03,6.17,0.0,4,0,0,5,0,11,0,0,0,-0.03,False
631,Agbadou,830,0,0,0.48,0.33,0.81,11.67,9.87,9,0,1,0,0,21,0,0,0,-0.81,False
633,H.Bueno,807,0,0,0.2,1.17,1.37,12.67,6.91,8,1,0,0,0,16,0,1,0,-1.37,False
634,Mosquera,338,0,0,0.1,0.01,0.11,4.55,5.59,4,3,0,0,0,8,1,0,0,-0.11,False
635,R.Gomes,331,1,0,0.95,0.22,1.17,4.3,4.89,4,0,0,0,0,9,0,0,1,-0.16999999999999993,False
636,S.Bueno,664,1,1,0.8,0.46,1.26,11.19,9.35,7,2,0,0,0,16,0,0,2,0.74,False
637,Toti,795,0,0,0.04,0.2,0.24,13.83,7.25,10,1,1,0,0,21,0,0,0,-0.24,False
644,Bellegarde,632,0,0,0.46,0.56,1.02,9.63,7.12,8,1,0,0,0,18,0,1,0,-1.02,False
646,Gomes,1099,0,0,0.63,0.5,1.13,18.05,11.87,12,5,0,0,0,24,0,1,0,-1.13,False
648,Munetsi,872,1,2,1.64,0.38,2.02,13.36,8.26,9,2,0,0,0,19,0,0,3,0.98,False
663,J.Arias,727,0,0,2.78,0.43,3.21,8.78,9.78,9,1,0,0,0,12,0,1,0,-3.21,False
682,Møller Wolfe,402,0,1,0.05,0.73,0.78,6.45,4.7,5,1,0,0,0,10,0,0,1,0.21999999999999997,False
233,Acheampong,348,1,0,0.6,0.04,0.64,7.53,6.21,4,0,0,0,0,5,0,2,1,0.36,False
695,Tchatchoua,777,0,0,0.26,0.68,0.94,12.19,6.37,7,0,0,0,0,19,0,0,0,-0.94,False
709,Krejčí,794,1,1,1.56,1.02,2.58,12.01,7.37,9,1,0,0,0,19,1,0,2,-0.5800000000000001,False
642,Hee Chan,413,1,0,0.76,0.23,0.99,7.77,4.14,5,0,0,0,0,9,0,0,1,0.010000000000000009,False
643,André,973,0,0,0.04,0.33,0.37,16.59,13.23,11,4,0,0,0,20,0,0,0,-0.37,False
654,Strand Larsen,977,1,0,1.73,0.41,2.14,14.35,2.95,11,0,0,0,0,20,0,2,1,-1.1400000000000001,False
